MONTH_OF_YEAR,MONTH_OF_YEAR_NAME,MONTH_OF_YEAR_NAME_DE,MONTH_OF_YEAR_NAME_FR,MONTH_OF_YEAR_NAME_ES,MONTH_OF_YEAR_NAME_IT,MONTH_OF_YEAR_NAME_PO,MONTH_OF_YEAR_NAME_JA,MONTH_OF_YEAR_NAME_SCH,MONTH_OF_YEAR_NAME_KO
1,January,Januar,Janvier,Enero,Gennaio,Janeiro,1月,一月,1월
2,February,Februar,Février,Febrero,Febbraio,Fevereiro,2月,二月,2월
3,March,März,Mars,Marzo,Marzo,Março,3月,三月,3월
4,April,April,Avril,Abril,Aprile,Abril,4月,四月,4월
5,May,Mai,Mai,Mayo,Maggio,Maio,5月,五月,5월
6,June,Juni,Juin,Junio,Giugno,Junho,6月,六月,6월
7,July,Juli,Juillet,Julio,Luglio,Julho,7月,七月,7월
8,August,August,Août,Agosto,Agosto,Agosto,8月,八月,8월
9,September,September,Septembre,Septiembre,Settembre,Setembro,9月,九月,9월
10,October,Oktober,Octobre,Octubre,Ottobre,Outubro,10月,十月,10월
11,November,November,Novembre,Noviembre,Novembre,Novembro,11月,十一月,11월
12,December,Dezember,Décembre,Diciembre,Dicembre,Dezembro,12月,十二月,12월
